b_max,alpha_ar,delta_dec1,delta_dec2,n_used,sweep_type,n_frac,n_value,delta_ra
2.0,12.848648917974351,27.013183113316817,27.23144737011085,8725.0,b_max,,,
3.0,12.857142755312289,26.632407276982327,27.218214873937605,13401.0,b_max,,,
4.0,12.857325589006631,26.318824418007416,27.33371239087285,18037.0,b_max,,,
5.0,12.853620997780535,25.938813451835035,27.274142487478333,22553.0,b_max,,,
6.0,12.852078515953748,25.58439072019358,27.106339030822014,26892.0,b_max,,,
7.0,12.84869730650444,25.21182134499369,27.00431323692379,30970.0,b_max,,,
8.0,12.845891126603984,24.846305164644022,27.02808996560202,34699.0,b_max,,,
9.0,12.844721539486864,24.48273727263603,27.175885023481904,38109.0,b_max,,,
10.0,12.842869885297516,24.179963965345742,27.266185770993392,41142.0,b_max,,,
11.0,12.842047361111028,23.874652208720967,27.553921426442297,43981.0,b_max,,,
12.0,12.837876864230752,23.569294550520322,27.80887585384315,46509.0,b_max,,,
13.0,12.835805477375445,23.243079499129134,28.02532711914177,48868.0,b_max,,,
14.0,12.832554728382899,22.9160208454172,28.18020728058977,51069.0,b_max,,,
15.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
16.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
17.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
18.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
19.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
20.0,12.83301926890022,22.658105324305563,28.328635226026048,53082.0,b_max,,,
,,19.809502453602242,,,n,0.05,2654.0,
,,22.658105324305563,,,n,0.1,5308.0,
,,24.753067609389667,,,n,0.15,7962.0,
,,26.500175281972975,,,n,0.2,10616.0,
,,28.082405282587168,,,n,0.25,13270.0,
,,29.565178113895847,,,n,0.3,15924.0,
,,30.99249396546899,,,n,0.35,18578.0,
,,32.408738732046416,,,n,0.4,21232.0,
,,33.843206240993915,,,n,0.45,23886.0,
,,35.361795290462915,,,n,0.5,26541.0,
,,,27.87089972353015,,delta_ra,,,0.05
,,,27.599981893579937,,delta_ra,,,0.1
,,,27.900809828671566,,delta_ra,,,0.15
,,,28.017537381570992,,delta_ra,,,0.2
,,,28.038597563750997,,delta_ra,,,0.25
,,,28.133117416587723,,delta_ra,,,0.3
,,,28.00884186551475,,delta_ra,,,0.35
,,,28.121917256634184,,delta_ra,,,0.4
,,,28.167715402573638,,delta_ra,,,0.45
,,,28.328635226026048,,delta_ra,,,0.5
,,,28.362611845448402,,delta_ra,,,0.55
,,,28.43148445174243,,delta_ra,,,0.6
,,,28.437726615651805,,delta_ra,,,0.65
,,,28.412944188946323,,delta_ra,,,0.7
,,,28.454740716829352,,delta_ra,,,0.75
,,,28.589183781735322,,delta_ra,,,0.8
,,,28.53421923047899,,delta_ra,,,0.85
,,,28.57757582285874,,delta_ra,,,0.9
,,,28.648756005659884,,delta_ra,,,0.95
,,,28.675425721385697,,delta_ra,,,1.0
,,,28.72960242071212,,delta_ra,,,1.05
,,,28.808948061434375,,delta_ra,,,1.1
,,,28.863166122913555,,delta_ra,,,1.15
,,,28.875869755820695,,delta_ra,,,1.2
,,,28.928056757172055,,delta_ra,,,1.25
,,,28.946243249581094,,delta_ra,,,1.3
,,,29.01029758343701,,delta_ra,,,1.35
,,,29.07205254773741,,delta_ra,,,1.4
,,,29.066544775117343,,delta_ra,,,1.45
,,,29.12531290976973,,delta_ra,,,1.5
